,carat,x,z
3898,0.89,6.22,3.75
22728,1.19,6.85,4.16
45930,0.61,5.48,3.3
52915,0.7,5.79,3.45
2871,0.9,6.37,3.76
15132,1.25,6.94,4.23
39757,0.36,4.58,2.84
46209,0.51,5.07,3.23
34809,0.31,4.4,2.66
44892,0.5,5.1,3.17
16297,1.0,6.36,3.95
29092,0.36,4.57,2.81
51744,0.56,5.32,3.26
43698,0.5,5.08,3.16
4453,0.72,5.85,3.49
48176,0.54,5.32,3.2
9701,0.32,4.35,2.74
29765,0.35,4.62,2.74
42503,0.55,5.28,3.26
11033,0.91,6.18,3.85
19760,1.01,6.36,3.95
38429,0.38,4.63,2.87
34050,0.36,4.58,2.83
6194,0.9,6.14,3.83
15030,0.3,4.3,2.66
23104,1.02,6.47,3.99
20812,1.01,6.56,3.9
21013,1.6,7.48,4.65
41892,0.5,5.1,3.03
3190,0.9,6.13,3.94
17762,1.12,6.75,4.09
12229,1.0,6.3,3.9
163,0.71,5.73,3.56
48909,0.54,5.22,3.22
10313,0.81,5.96,3.69
17426,1.11,6.68,4.08
23747,1.5,7.36,4.46
34407,0.3,4.33,2.66
33650,0.38,4.68,2.85
6029,1.0,6.27,4.06
51159,0.71,5.79,3.46
42687,0.45,4.91,3.05
52846,0.7,5.78,3.49
43978,0.36,4.63,2.83
3382,0.31,4.34,2.68
35076,0.3,4.33,2.69
37183,0.46,4.85,3.17
33358,0.41,4.74,2.98
16963,1.0,6.37,4.03
36243,0.41,4.75,2.96
48847,0.81,5.8,3.79
36193,0.4,4.75,2.97
15701,0.34,4.51,2.82
33138,0.31,4.35,2.61
12182,1.01,6.38,3.97
15622,1.01,6.43,3.93
31104,0.36,4.58,2.84
40646,0.54,5.22,3.2
3521,0.71,5.72,3.57
42215,0.42,4.84,2.98
44071,0.55,5.21,3.25
48918,0.54,5.32,3.19
7257,0.7,5.76,3.42
38728,0.4,4.75,2.96
28417,0.43,4.8,3.06
13054,1.03,6.47,3.9
21390,1.04,6.53,4.01
29507,0.32,4.36,2.74
15838,1.01,6.3,3.96
20144,1.2,6.82,4.23
39035,0.37,4.6,2.87
44649,0.28,4.18,2.62
42927,0.57,5.28,3.36
6931,1.01,6.47,3.78
46911,0.5,5.2,3.12
19267,1.09,6.74,4.06
13043,0.36,4.62,2.79
12121,1.35,7.16,4.32
17943,1.7,7.83,4.63
49761,0.7,5.92,3.44
30218,0.33,4.45,2.76
17254,1.09,6.6,4.04
40797,0.43,4.83,3.01
49349,0.7,5.75,3.48
3644,0.9,6.14,3.87
10809,1.0,6.34,3.94
22270,1.27,6.9,4.26
11553,0.91,6.16,3.86
43381,0.5,4.99,3.17
41879,0.57,5.44,3.24
29326,0.31,4.35,2.71
11207,1.01,6.45,3.95
19695,0.4,4.72,2.95
251,0.81,5.94,3.64
43426,0.53,5.27,3.15
17657,1.0,6.37,4.0
18211,1.0,6.6,3.86
12285,1.01,6.38,3.97
37433,0.33,4.55,2.64
45145,0.5,5.1,3.2
28314,0.32,4.34,2.73
18427,1.54,7.36,4.6
23239,1.67,7.78,4.61
35993,0.42,4.79,2.97
752,0.77,5.94,3.61
