,price,carat,x,z
0,326,0.23,3.95,2.43
2,327,0.23,4.05,2.31
3,334,0.29,4.2,2.63
4,335,0.31,4.34,2.75
5,336,0.24,3.94,2.48
6,336,0.24,3.95,2.47
7,337,0.26,4.07,2.53
8,337,0.22,3.87,2.49
9,338,0.23,4.0,2.39
10,339,0.3,4.25,2.73
12,342,0.22,3.88,2.33
13,344,0.31,4.35,2.71
14,345,0.2,3.79,2.27
15,345,0.32,4.38,2.68
18,351,0.3,4.23,2.71
19,351,0.3,4.21,2.66
20,351,0.3,4.26,2.71
21,352,0.23,3.85,2.48
22,353,0.23,3.94,2.41
23,353,0.31,4.39,2.62
25,354,0.23,3.97,2.41
27,357,0.3,4.28,2.67
28,357,0.23,3.96,2.4
30,402,0.23,4.0,2.41
31,402,0.23,4.04,2.42
32,402,0.23,3.97,2.42
33,402,0.23,4.01,2.4
34,402,0.23,3.92,2.44
35,402,0.23,4.06,2.37
36,402,0.23,3.83,2.46
38,403,0.26,4.13,2.52
39,403,0.33,4.49,2.78
40,403,0.33,4.49,2.75
41,403,0.33,4.49,2.76
42,403,0.26,3.99,2.61
44,403,0.32,4.34,2.75
46,403,0.32,4.35,2.71
47,403,0.32,4.36,2.79
48,404,0.25,4.0,2.54
50,404,0.24,4.02,2.45
51,404,0.23,3.93,2.44
52,404,0.32,4.45,2.72
53,404,0.22,3.93,2.41
54,404,0.22,3.91,2.31
55,405,0.3,4.3,2.63
56,405,0.3,4.43,2.61
57,405,0.3,4.25,2.67
59,405,0.3,4.25,2.7
60,552,0.35,4.54,2.78
61,552,0.3,4.23,2.66
63,552,0.3,4.3,2.68
64,552,0.42,4.78,2.96
65,553,0.28,4.19,2.58
66,553,0.32,4.39,2.73
67,553,0.31,4.33,2.73
68,553,0.31,4.35,2.68
69,553,0.24,4.01,2.44
70,553,0.24,3.97,2.45
71,554,0.3,4.29,2.7
72,554,0.3,4.28,2.68
73,554,0.3,4.29,2.67
74,554,0.3,4.28,2.72
75,554,0.26,4.19,2.49
76,554,0.26,4.15,2.51
77,554,0.26,4.08,2.56
78,554,0.26,4.01,2.53
79,554,0.26,4.06,2.55
80,554,0.26,4.0,2.55
81,554,0.26,4.03,2.53
82,554,0.26,4.02,2.54
83,554,0.38,4.65,2.87
85,554,0.24,3.95,2.45
86,554,0.24,4.01,2.44
87,554,0.24,4.02,2.44
88,554,0.24,4.07,2.46
90,2757,0.7,5.7,3.57
92,2757,0.7,5.7,3.5
93,2759,0.71,5.68,3.56
94,2759,0.78,5.81,3.72
96,2759,0.7,5.71,3.4
97,2759,0.96,6.27,4.07
98,2760,0.73,5.77,3.56
99,2760,0.8,5.97,3.66
100,2760,0.75,5.8,3.65
101,2760,0.75,6.0,3.58
102,2760,0.74,5.8,3.59
104,2760,0.8,5.94,3.72
105,2760,0.75,5.87,3.63
107,2761,0.74,5.77,3.61
108,2761,0.81,6.14,3.6
109,2761,0.59,5.38,3.35
110,2761,0.8,5.96,3.67
113,2762,0.74,5.73,3.59
114,2762,0.73,5.77,3.6
115,2762,0.73,5.8,3.62
119,2762,0.8,6.01,3.62
121,2762,0.74,5.8,3.62
123,2762,0.7,5.57,3.58
124,2762,0.7,5.63,3.66
125,2762,0.7,5.65,3.46
126,2763,0.91,6.09,3.7
