,price
3898,3489
22728,10748
45930,1721
52915,2589
2871,3276
15132,6084
39757,1094
46209,1750
34809,878
44892,1629
16297,6521
29092,689
51744,2404
43698,1436
4453,3619
48176,1944
9701,589
29765,709
42503,1321
11033,4919
19760,8330
38429,1026
34050,851
6194,3997
15030,605
23104,11128
20812,9040
21013,9229
41892,1259
3190,3342
17762,7153
12229,5197
163,2771
48909,2041
10313,4764
17426,6982
23747,11795
34407,863
33650,834
6029,3965
51159,2345
42687,1337
52846,2575
43978,518
3382,408
35076,886
37183,972
33358,827
16963,6776
36243,935
48847,2031
36193,931
15701,607
33138,816
12182,5184
15622,6268
31104,753
40646,1154
3521,3405
42215,1289
44071,1551
48918,2041
7257,4198
38728,1043
28417,669
13054,5410
21390,9505
29507,702
15838,6335
20144,8602
39035,1056
44649,522
42927,1364
6931,4140
46911,1814
19267,7992
13043,600
12121,5167
17943,7250
49761,2159
30218,723
17254,6906
40797,1169
49349,2096
3644,3437
10809,4864
22270,10321
11553,5032
43381,1410
41879,1257
29326,698
11207,4959
19695,624
251,2789
43426,1415
17657,7114
18211,7392
12285,5216
37433,984
45145,1654
28314,432
18427,7494
23239,11248
35993,921
752,2856
49743,2155
3405,567
10588,4823
50999,544
4996,3741
31977,453
18184,7372
47851,1909
11000,4914
40780,1167
33082,814
33617,462
598,2838
29564,705
42870,1358
18175,7368
11162,4948
21757,9823
35713,911
18139,7346
43437,1415
42816,1354
52750,2560
16715,609
20765,9003
5189,3775
49887,2177
33728,839
52181,2476
21666,9762
49848,2170
7653,4269
13743,5602
29726,707
23347,422
38070,1013
23678,11726
6073,3968
42974,1367
9881,4682
43413,1413
17467,7006
45883,1719
36861,958
17632,7100
17313,6937
20867,9086
34132,854
8229,4372
28906,684
7302,4203
16319,6531
45617,1692
11887,5113
39619,491
40366,1130
34374,863
37967,1007
32054,780
49378,2101
6877,4129
41235,1207
28180,666
28192,666
1096,2912
45210,1656
40316,1125
19932,8481
49570,2131
32363,790
18161,7362
51675,2398
48839,2030
34647,872
46416,1768
21562,9663
48404,1969
36769,956
851,2870
625,2840
6319,4028
38947,489
42881,1359
13683,5599
52642,552
2174,3135
48705,2010
29870,710
6822,4119
18062,7293
3678,3445
8358,4399
48469,1978
1405,560
44874,1629
40498,1142
8846,4480
9522,4616
3744,570
4545,3640
36979,963
41640,1238
36868,958
45722,1698
38167,1014
21811,9882
14194,5758
8654,4454
12750,5320
36941,478
15916,6366
9755,4661
23265,11272
14519,5864
47038,1819
22141,10180
49338,2095
21525,9625
12910,5376
12665,5302
13771,5614
19158,7917
14230,5766
12245,5202
12444,5242
40104,1114
46455,1774
13060,5411
19521,8154
17193,6867
20041,625
18390,7472
6682,4101
17961,7258
29775,709
37347,982
6646,4092
48921,2042
1462,2980
19773,8342
41120,1196
38610,488
18671,7634
43756,1439
31934,776
19977,8524
7713,579
18247,7412
53025,2601
30096,720
1704,3036
50231,2232
40862,1175
1233,2942
8433,4407
31095,753
38013,1009
17048,612
48080,1931
16531,6606
51232,2352
13237,5468
16553,6613
3796,3464
50721,2294
42747,1343
3393,567
41918,1262
16176,6467
32110,782
30319,726
34241,855
12281,5214
18786,7682
50957,2323
6433,4044
40501,1142
44909,1631
28611,675
11442,5006
44100,1556
34627,872
35237,894
17427,6984
16173,6465
50913,2318
23756,11804
6671,4098
41852,1255
34895,880
1001,2898
12513,5260
34304,858
33865,844
36952,480
13997,5698
39427,1076
28432,670
37555,988
18240,7409
3808,3465
45422,1668
4080,3531
30783,742
22245,10302
47221,1838
2363,3175
46022,1728
41680,1240
29808,709
11870,5107
36283,477
44666,523
53450,2676
38359,1021
41567,1238
50887,2316
14730,5930
42659,1333
6960,4147
42213,1289
33741,840
10147,4725
51049,2331
7453,4234
47626,1881
37603,485
7277,4200
6843,4124
8599,4441
40530,1147
28362,667
4556,3644
19736,8303
50762,2300
20068,625
13541,5548
42651,1333
5096,3755
13706,5601
14679,5922
3573,3419
35509,904
32894,810
12332,5226
23415,11405
52792,2569
8513,4425
19902,8451
30982,746
20124,8588
15117,6076
9814,4670
28843,683
5547,3856
52010,2444
38940,489
46466,1775
21628,9720
9906,4688
16045,608
38303,487
32183,788
11124,4938
16727,610
9645,4641
7459,4234
47697,1883
39338,1072
7143,4177
29137,692
13502,5541
2129,3122
40293,1125
22499,10537
1041,2906
48638,537
29100,689
42414,1311
31188,756
36124,928
47156,1833
107,2761
48264,1955
23236,11247
53095,2613
23675,11722
48089,1932
29944,445
12201,5190
48125,1939
35298,473
44405,1585
29641,706
23305,11338
7386,579
45735,1699
41135,1197
41047,1188
30957,449
32764,803
18978,7812
42202,1287
36134,928
43542,1428
36856,958
49902,2178
50660,544
36432,942
18134,7343
10009,4707
5798,3906
38919,1052
50082,2205
102,2760
9388,589
14064,605
15123,6078
30545,734
48664,2001
16605,6632
30813,743
34075,852
3834,3472
45818,1712
4899,3722
12244,5202
753,2857
5232,3787
50318,2240
28519,674
12953,5387
45482,1678
50491,2268
23660,11708
44917,1631
49762,2160
47579,1875
53098,2614
17175,6857
22047,628
39893,1103
2421,3181
15938,6375
32170,787
15316,6149
34800,877
22893,10933
33300,826
36602,477
22852,10887
44548,1605
35864,917
50373,2250
1540,3001
29672,707
18891,7747
43935,515
16512,6598
41584,388
46796,1806
13725,603
30956,449
49607,2138
34829,878
11902,5120
43026,1372
28107,663
40128,1115
36621,478
21252,9405
17963,7260
5818,3913
410,555
45131,1653
48726,2012
23510,11519
42063,1271
39556,1080
10670,4839
52636,552
19210,7955
51859,2425
17069,612
2671,3238
44564,1605
8755,4466
49966,540
9000,4512
50888,2316
22982,11032
11067,596
42824,1354
1917,3082
43514,1423
3641,3436
50091,2206
16639,6653
36710,953
8425,4405
20248,8679
49708,2147
9103,4528
32736,802
29652,706
11273,4973
48616,1999
6683,4101
44163,1565
35259,895
11190,4956
13837,5640
31657,768
45745,1701
19119,7885
50015,2196
7470,4234
45748,1702
34269,466
45720,1698
19096,7864
51248,2355
15963,6388
5097,3756
15899,6355
39261,1069
40974,1180
5042,573
35900,918
382,2811
496,2822
46903,1814
2621,3226
10977,4909
36653,949
46012,1727
7021,4158
16933,6762
7830,4298
11459,5008
29258,698
9116,4532
52902,2586
3101,3321
22924,10962
28003,658
1673,3026
41894,1259
30286,447
16751,6670
48765,2018
14876,5989
20434,8789
29484,702
36545,945
44297,1577
46954,526
18405,7480
30633,735
15367,605
17335,6956
17752,7147
21634,9728
21186,9337
39289,491
11768,5082
3876,3482
53620,552
46285,1755
21638,9730
39938,492
34836,878
23155,11172
36079,925
33374,827
44008,394
488,2822
9595,4630
12769,5327
40557,1151
37283,484
7598,4257
49124,2066
31925,776
53836,2737
15953,6383
15360,605
38047,1011
44203,1569
34295,857
32755,803
52638,552
4087,3534
53489,2682
53445,2674
21927,10000
14622,5902
18921,7769
4118,3539
20413,8774
38295,487
46110,1743
15026,6048
7156,4181
37877,1005
53332,2655
12355,5231
16792,6692
52737,2559
32315,789
32648,802
10407,593
23185,11194
5860,3921
7913,4315
46688,1790
23069,11104
43457,1416
51660,2397
50958,2323
47810,1902
53114,2616
2760,3250
47818,1904
9699,589
45108,1649
35603,907
35750,911
12416,5237
52164,2474
25360,642
44055,1550
19899,8449
27977,658
4555,3643
48192,1946
43651,1435
51778,2411
4966,3734
7755,4281
45336,1662
50205,2227
30572,734
7248,4197
47861,1910
15556,6237
16477,6586
38414,1024
35387,899
37563,988
17563,7072
39322,1071
3343,3378
12126,5169
24374,637
53786,2728
7959,4321
44300,1577
50869,2313
20111,8580
43415,1413
8748,4465
13462,5528
52269,2491
39015,1056
590,2836
34649,872
52071,2455
3823,3471
27386,647
29906,711
2687,3245
22820,10850
8475,4416
42620,505
4363,3604
28384,668
39155,1063
6642,4090
41226,1207
20042,625
40280,494
4165,3553
18335,7459
9329,4580
33859,844
1440,2975
22701,630
13104,5424
22961,11009
1727,561
7433,4229
30974,746
30021,717
30608,447
39262,1069
21424,9532
38882,1050
20636,8929
29863,710
33445,828
15328,6153
11176,4953
41503,1234
6311,4025
38090,1013
10373,4776
10256,4751
44842,1625
30628,448
19479,8115
44035,1547
8453,4413
40003,1107
9521,4616
46977,530
50552,2276
4366,3605
6849,4125
40909,1179
12452,5245
38735,1043
3868,3480
16866,6730
51844,2423
49984,2190
27834,651
10271,4752
1432,2973
2890,3282
39526,1080
53560,2694
3871,3481
47994,533
22166,10209
8016,4329
22809,10833
8206,4369
43907,512
5344,3812
42810,1353
44371,1580
47338,530
38579,1035
1152,2923
11161,4948
1131,2920
48163,1942
862,2871
2302,3163
50132,2211
9021,4514
35577,906
46801,1806
8230,4372
22620,10671
37875,1004
39610,491
32561,800
23133,11155
22074,10096
16128,6446
556,2831
32754,803
14678,5922
49345,2096
4876,3714
14243,5770
48660,2001
1595,3011
53202,2633
27863,653
31008,748
20320,8735
36575,945
36441,942
52070,2454
49265,2088
36899,960
43482,1421
39028,1056
22903,10945
6009,3961
38558,1035
35515,905
6197,3997
38104,1013
38326,1020
28656,676
49064,2058
16532,6606
13251,5476
46195,1749
23733,11776
11415,5000
50317,2240
44023,1546
34708,874
35357,898
42683,1337
15676,6288
41411,1226
34150,854
28177,666
30913,745
21712,627
41538,1235
35827,915
51199,2351
43127,1387
5307,3803
39568,1081
36407,942
46827,1809
35779,912
18242,7409
18792,7687
51063,2332
49160,2070
4492,3629
8942,4497
6645,4092
15690,607
31559,766
595,2838
15563,6239
33183,818
15634,6271
10282,4755
29697,707
6772,4108
50782,2302
2888,3282
451,2817
6210,4000
38435,1026
37098,969
22096,10116
47645,530
1252,2946
21370,626
23167,11180
46990,1816
14209,5759
5603,3871
22687,629
34664,872
42073,1272
2517,3201
4174,3555
52610,2545
46739,1799
28195,666
44566,1605
18053,615
18336,7459
14278,5780
49132,2066
7185,4186
44944,1634
51784,2414
31737,772
1602,3011
1458,2979
30878,743
7029,4159
30616,447
46168,1746
8464,4414
13817,5629
3673,3445
47342,1845
35172,891
4605,3660
7,337
4065,571
43818,1443
45534,1687
23276,11299
43484,1421
32107,782
49758,2159
48593,1995
8282,4382
44280,1577
44469,1594
5904,3933
36521,945
42892,1359
35233,894
15629,6271
20075,8552
1380,558
10653,4836
31817,775
44450,1591
30403,730
31941,776
21901,9971
37312,979
32971,811
11279,4974
8298,4385
6336,4032
3645,3437
9485,4605
12404,5234
41961,505
47429,1852
34108,853
34072,851
51067,2332
1570,3006
21412,9525
52175,2475
32575,801
2843,3270
7201,4190
15052,605
37797,1000
19407,8064
17803,7177
50265,2238
23489,11489
11886,5113
19989,8530
44167,1565
10365,4773
48104,1935
42349,1300
21035,625
21287,9444
49421,2107
10896,4884
23046,11078
18789,7685
45025,1637
49200,2079
1070,558
15018,6048
35053,884
41435,1228
53657,2706
17168,6856
22888,10929
50759,2298
43145,1389
36661,949
47477,1861
9360,589
10735,594
1663,3024
29774,709
39589,1083
29391,698
9397,4586
46515,1780
46830,1809
39961,1105
47581,1875
48585,1993
23639,11666
20272,8694
13199,5455
16994,6787
53177,2630
29356,698
53385,2662
19955,8504
23329,11374
33103,816
6948,4143
11358,4994
49225,2082
46067,1736
18111,7328
31614,371
42556,1326
36265,936
17960,7258
52143,2469
3633,3431
47496,1865
32734,802
21499,9596
13166,5444
41656,1239
2079,3109
10116,4718
48071,1929
49590,2136
3423,3384
28955,435
32017,778
35976,921
52501,2525
16678,6666
7088,4165
38902,1052
6160,3991
5300,3801
36035,923
27034,645
16481,6586
33188,819
17140,6841
7641,4268
9791,4666
4588,3655
36601,477
43310,1402
8876,4484
21421,9530
34980,880
10443,4788
53785,2728
53416,2670
41900,1260
3784,3462
34149,854
29987,716
48802,2025
14883,5994
7969,4323
51485,2380
19987,8530
27823,650
40783,1168
33385,827
34155,854
39226,1067
46828,1809
52921,2590
46294,526
19558,8190
17215,6883
11874,5107
46481,1777
21625,9716
38312,1018
160,2770
18935,7781
51560,2389
29658,706
1973,3091
8307,4388
13101,5423
49530,2124
17809,7177
18122,7336
17601,7088
42329,1295
12496,5257
28903,684
53436,2673
36183,930
3320,3373
6203,3998
23708,632
38052,1012
47960,1919
5685,3886
35274,895
35446,900
34172,854
20809,9038
30552,734
50864,2313
52943,2593
4306,3593
907,2878
46928,1815
41357,1219
50240,2233
31883,776
28549,675
40977,1181
41477,1231
43848,1447
42158,1284
51048,2330
18431,7495
12101,5165
34573,871
41587,389
53190,2633
29024,687
1530,2999
42791,1350
6272,4014
37809,1001
8335,4395
34356,863
